"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**1111120,REF**1111119,REF**1111118,REF**1111117,REF**1111116,REF**1111115,REF**1111114,REF**1111112,REF**1111111,REF**111119,REF**111118,REF**111116,REF**111115,REF**111114,REF**111113,REF**111112,REF**111111";"Hole_0.4mm";17;"Hole_0.4mm";;;
2;"U8";"LGA8";1;"MPL3115A2";;;
3;"G***";"Logo_Bento";1;"LOGO";;;
4;"FID3,FID2,FID1";"Fiducial_very_small_modern";3;"Fiducial_very_small_modern";;;
5;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
6;"U5";"SOIC-16_7.5x10.3mm_Pitch1.27mm";1;"S25FL***";;;
7;"U4";"TSSOP-8_3x3mm_Pitch0.65mm";1;"PCA9632";;;
8;"U3";"QFN-16-1EP_4x4mm_Pitch0.65mm";1;"FT230XQ";;;
9;"R21";"R_0603";1;"2k";;;
10;"R19,R18,R17,R16,R15,R14,R13,R7,R6,R5,R4,R1";"R_0603";12;"10k";;;
11;"R12";"R_0603";1;"100k";;;
12;"R11,R10";"R_0603";2;"100R";;;
13;"R9";"R_0603";1;"220R";;;
14;"R8";"R_0603";1;"1k";;;
15;"R3,R2";"R_0603";2;"27R";;;
16;"P6";"Socket_Strip_Straight_1x07";1;"CONN_01X07";;;
17;"P1";"Socket_Strip_Straight_1x02";1;"CONN_01X02";;;
18;"F1";"Fuse_SMD1206_HandSoldering";1;"SMD FUSE, 8A";;;
19;"D3";"SMA_Standard";1;"PMEG4050EP";;;
20;"D1";"LED-0603";1;"Red";;;
21;"C27,C26";"C_0805";2;"22uF, 10V, ESR < 10mR, X5R/X7R";;;
22;"C25,C24,C18,C12,C11,C10,C9,C7,C6,C5,C4,C3,C13";"C_0603";13;"0.1uF";;;
23;"C23,C22";"C_0603";2;"2.2uF, 10V, X5R/X7R";;;
24;"C21,C20";"C_0805";2;"4.7uF, 10V, X5R/X7R";;;
25;"C19,C17";"C_0603";2;"2.2uF";;;
26;"C16,C15";"C_0805";2;"10uF";;;
27;"C14";"C_0603";1;"1uF";;;
28;"C8";"C_0603";1;"10nF";;;
29;"C2,C1";"C_0603";2;"47pF";;;
30;"U12,U13";"DFN-8-1EP_2x2mm_Pitch0.5mm";2;"MIC2876-5.0YMT";;;
31;"CON1";"MICRO_USB_B_MIDMOUNT_TH";1;"USB-MICRO-B";;;
32;"D2";"PLCC-4";1;"Cree CLV1A";;;
33;"L1,L2";"LQH5BP_Murata_ind";2;"1uH, 4.5A (LQH5BPN1R0NT0L)";;;
34;"SW1";"SPDT_MINI_SLIDE_SWITCH";1;"SWITCH_INV";;;
35;"U1";"ESP-07v2";1;"ESP-07v2";;;
36;"U2";"VSSOP-8";1;"SN74LVC2T45DCU";;;
37;"U6";"QFN-24-3x3mm_Pitch0.4mm";1;"MPU9250";;;
38;"U7";"QFP_20_3x3mm_0.45mm_pitch";1;"AT42QT1070-MMH";;;
39;"U10";"SOT-23-5";1;"MCP73832";;;
40;"U11";"DFN-6-1EP_1.2x1.2mm_Pitch0.4mm";1;"MIC5528-3.3YMT";;;
41;"P4,P5";"Conn_1x03_1-8mmDrill";2;"CONN_01X03";;;
42;"P7,P8";"SolderWirePad_single_2-5mmDrill";2;"CONN_01X01";;;
43;"P2,P3";"MOLEX_90325-0006";2;"CONN_01X06";;;
44;"U9";"WDFN-8-1EP_3x4mm_Pitch0.65mm";1;"LC709203F";;;
